artist,rank,song,year
Michael Bolton,49,Love Is a Wonderful Thing,1991
Rod Stewart,50,Rhythm of My Heart,1991
C+C Music Factory,51,Things That Make You Go Hmmm...,1991
Divinyls,52,I Touch Myself,1991
DNA,53,Tom's Diner,1991
Another Bad Creation,54,Iesha,1991
Bonnie Raitt,55,Something to Talk About,1991
Nelson,56,After the Rain,1991
Vanilla Ice,57,Play That Funky Music,1991
Corina,58,Temptation,1991
Bryan Adams,59,Can't Stop This Thing We Started,1991
Hi-Five,60,I Can't Wait Another Minute,1991
The KLF,61,3 a.m. Eternal,1991
Michael Bolton,62,"Time, Love and Tenderness",1991
Enigma,63,Sadeness (Part I),1991
LL Cool J,64,Around the Way Girl,1991
The Escape Club,65,I'll Be There,1991
Prince,66,Cream,1991
Heavy D &amp; the Boyz,67,Now That We Found Love,1991
Styx,68,Show Me the Way,1991
Mariah Carey,69,Love Takes Time,1991
Rick Astley,70,Cry for Help,1991
UB40,71,The Way You Do the Things You Do,1991
UB40,72,Here I Am (Come and Take Me),1991
Tesla,73,Signs,1991
Cathy Dennis,74,Too Many Walls,1991
Seal,75,Crazy,1991
Keith Sweat,76,I'll Give All My Love to You,1991
Michael W. Smith,77,Place in this World,1991
Poison,78,Something to Believe In,1991
Chris Isaak,79,Wicked Game,1991
Oleta Adams,80,Get Here,1991
Tevin Campbell,81,Round and Round,1991
Queensrÿche,82,Silent Lucidity,1991
Will to Power,83,I'm Not In Love,1991
Tara Kemp,84,Piece of My Heart,1991
Jesus Jones,85,Real Real Real,1991
Aaron Neville,86,Everybody Plays the Fool,1991
Cathy Dennis,87,Just Another Dream,1991
Black Box,88,Strike It Up,1991
Gerardo,89,Rico Suave,1991
INXS,90,Disappear,1991
Deee-Lite,91,Groove Is in the Heart,1991
Sting,92,All This Time,1991
Chesney Hawkes,93,The One and Only,1991
Naughty by Nature,94,O.P.P.,1991
George Michael,95,Freedom 90,1991
Warrant,96,I Saw Red,1991
Winger,97,Miles Away,1991
Salt-n-Pepa,98,Do You Want Me,1991
Rod Stewart,99,The Motown Song,1991
R.E.M.,100,Shiny Happy People,1991
Boyz II Men,1,End of the Road,1992
Sir Mix-a-Lot,2,Baby Got Back,1992
Kris Kross,3,Jump,1992
Vanessa Williams,4,Save the Best for Last,1992
TLC,5,Baby-Baby-Baby,1992
Eric Clapton,6,Tears in Heaven,1992
En Vogue,7,My Lovin' (You're Never Gonna Get It),1992
Red Hot Chili Peppers,8,Under the Bridge,1992
Color Me Badd,9,All 4 Love,1992
Jon Secada,10,Just Another Day,1992
Shanice,11,I Love Your Smile,1992
Mr. Big,12,To Be with You,1992
Right Said Fred,13,I'm Too Sexy,1992
Michael Jackson,14,Black or White,1992
Billy Ray Cyrus,15,Achy Breaky Heart,1992
Mariah Carey,16,I'll Be There,1992
Guns N' Roses,17,November Rain,1992
Tom Cochrane,18,Life Is a Highway,1992
Michael Jackson,19,Remember the Time,1992
CeCe Peniston,20,Finally,1992
Madonna,21,This Used to Be My Playground,1992
Patty Smyth,22,Sometimes Love Just Ain't Enough,1992
Mariah Carey,23,Can't Let Go,1992
House of Pain,24,Jump Around,1992
Prince,25,Diamonds and Pearls,1992
George Michael,26,Don't Let the Sun Go Down on Me,1992
Atlantic Starr,27,Masterpiece,1992
Celine Dion,28,If You Asked Me To,1992
En Vogue,29,Giving Him Something He Can Feel,1992
Joe Public,30,Live and Learn,1992
Jodeci,31,Come and Talk to Me,1992
Nirvana,32,Smells Like Teen Spirit,1992
Bobby Brown,33,Humpin' Around,1992
Sophie B. Hawkins,34,Damn I Wish I Was Your Lover,1992
Tevin Campbell,35,Tell Me What You Want Me to Do,1992
TLC,36,Ain't 2 Proud 2 Beg,1992
Boyz II Men,37,It's So Hard to Say Goodbye to Yesterday,1992
Technotronic,38,Move This,1992
Queen,39,Bohemian Rhapsody,1992
Arrested Development,40,Tennessee,1992
Luther Vandross,41,The Best Things in Life Are Free,1992
Mariah Carey,42,Make It Happen,1992
Elton John,43,The One,1992
P.M. Dawn,44,Set Adrift on Memory Bliss,1992
Shakespears Sister,45,Stay,1992
Hammer,46,2 Legit 2 Quit,1992
KWS,47,Please Don't Go,1992
Mint Condition,48,Breakin' My Heart (Pretty Brown Eyes),1992
The Cover Girls,49,Wishing on a Star,1992
Hi-Five,50,"""She's Playing Hard to Get""",1992
P.M. Dawn,51,I'd Die Without You,1992
Amy Grant,52,Good for Me,1992
Toad the Wet Sprocket,53,All I Want,1992
Michael Bolton,54,When a Man Loves a Woman,1992
Genesis,55,I Can't Dance,1992
Richard Marx,56,Hazard,1992
U2,57,Mysterious Ways,1992
George Michael,58,Too Funky,1992
The Heights,59,How Do You Talk to an Angel,1992
U2,60,One,1992
CeCe Peniston,61,Keep on Walkin',1992
Genesis,62,Hold on My Heart,1992
Karyn White,63,"""The Way I Feel About You""",1992
Celine Dion,64,Beauty and the Beast,1992
Kris Kross,65,Warm It Up,1992
Michael Jackson,66,In the Closet,1992
Arrested Development,67,People Everyday,1992
Genesis,68,No Son of Mine,1992
Marky Mark and the Funky Bunch,69,Wildside,1992
Bryan Adams,70,Do I Have to Say the Words?,1992
The Cure,71,Friday I'm in Love,1992
Ugly Kid Joe,72,Everything About You,1992
Paula Abdul,73,Blowing Kisses in the Wind,1992
Bryan Adams,74,Thought I'd Died and Gone to Heaven,1992
Snap!,75,Rhythm Is a Dancer,1992
Hammer,76,Addams Groove,1992
Michael Bolton,77,Missing You Now,1992
N2Deep,78,"""Back to the Hotel""",1992
Kathy Troccoli,79,"""Everything Changes""",1992
Def Leppard,80,Have You Ever Needed Someone So Bad,1992
Richard Marx,81,Take This Heart,1992
FireHouse,82,When I Look Into Your Eyes,1992
Jade,83,I Wanna Love You,1992
Boyz II Men,84,Uhh Ahh,1992
Mary J. Blige,85,Real Love,1992
The KLF,86,Justified and Ancient,1992
Color Me Badd,87,"""Slow Motion""",1992
TLC,88,What About Your Friends,1992
Color Me Badd,89,"""Thinkin' Back""",1992
Charles &amp; Eddie,90,Would I Lie to You?,1992
Amy Grant,91,That's What Love Is For,1992
Richard Marx,92,Keep Coming Back,1992
En Vogue,93,Free Your Mind,1992
Keith Sweat,94,Keep It Comin',1992
Mr. Big,95,"""Just Take My Heart""",1992
Amy Grant,96,I Will Remember You,1992
CeCe Peniston,97,We Got a Love Thang,1992
Def Leppard,98,Let's Get Rocked,1992
Das EFX,99,They Want EFX,1992
Bonnie Raitt,100,I Can't Make You Love Me,1992
Whitney Houston,1,I Will Always Love You,1993
Tag Team,2,Whoomp! (There It Is),1993
UB40,3,Can't Help Falling in Love,1993
Janet Jackson,4,That's the Way Love Goes,1993
Silk,5,Freak Me,1993
SWV,6,Weak,1993
Shai,7,If I Ever Fall in Love,1993
Mariah Carey,8,Dreamlover,1993
Wreckx-n-Effect,9,Rump Shaker,1993
Snow,10,Informer,1993
Dr. Dre,11,Nuthin' but a 'G' Thang,1993
Boyz II Men,12,In the Still of the Nite,1993
Jade,13,Don't Walk Away,1993
H-Town,14,Knockin' da Boots,1993
Jodeci,15,Lately,1993
Duice,16,Dazzey Duks,1993
Robin S.,17,Show Me Love,1993
Peabo Bryson,18,A Whole New World,1993
Janet Jackson,19,If,1993
SWV,20,I'm So Into You,1993
Vanessa Williams,21,Love Is,1993
Soul Asylum,22,Runaway Train,1993
Exposé,23,I'll Never Get Over You (Getting Over Me),1993
Paperboy,24,Ditty,1993
Snap!,25,Rhythm Is a Dancer,1993
Billy Joel,26,The River of Dreams,1993
The Proclaimers,27,I'm Gonna Be (500 Miles),1993
Spin Doctors,28,Two Princes,1993
SWV,29,Right Here,1993
Whitney Houston,30,I Have Nothing,1993
Arrested Development,31,Mr. Wendal,1993
Rod Stewart,32,Have I Told You Lately,1993
Shanice,33,Saving Forever for You,1993
Duran Duran,34,Ordinary World,1993
Tony! Toni! Toné!,35,If I Had No Loot,1993
Meat Loaf,36,I'd Do Anything for Love (But I Won't Do That),1993
Onyx,37,Slam,1993
P.M. Dawn,38,Looking Through Patient Eyes,1993
Whitney Houston,39,I'm Every Woman,1993
Shai,40,"""Baby I'm Yours""",1993
Duran Duran,41,Come Undone,1993
Tina Turner,42,I Don't Wanna Fight,1993
P.M. Dawn,43,I'd Die Without You,1993
95 South,44,"Whoot, There It Is",1993
Naughty by Nature,45,Hip Hop Hooray,1993
Toni Braxton,46,Another Sad Love Song,1993
Michael Jackson,47,Will You Be There,1993
Shai,48,Comforter,1993
Bobby Brown,49,"""Good Enough""",1993
4 Non Blondes,50,What's up,1993
Ace of Base,51,All That She Wants,1993
Prince,52,7,1993
Dr. Dre,53,Dre Day,1993
Brian McKnight,54,One Last Cry,1993
Xscape,55,Just Kickin' It,1993
2Pac,56,I Get Around,1993
Bon Jovi,57,Bed of Roses,1993
Mary J. Blige,58,Real Love,1993
Portrait,59,"""Here We Go Again!""",1993
Aerosmith,60,Cryin',1993
Ugly Kid Joe,61,Cat's in the Cradle,1993
TLC,62,What About Your Friends,1993
Positive K,63,I Got a Man,1993
Zhané,64,Hey Mr. D.J.,1993
Cypress Hill,65,Insane in the Brain,1993
Madonna,66,Deeper and Deeper,1993
Madonna,67,Rain,1993
Jeremy Jordan,68,The Right Kind of Love,1993
Inner Circle,69,Bad Boys,1993
Boy Krazy,70,That's What Love Can Do,1993
Jon Secada,71,Do You Believe in Us,1993
Jon Secada,72,Angel,1993
Kenny G,73,Forever in Love,1993
Janet Jackson,74,Again,1993
DJ Jazzy Jeff &amp; The Fresh Prince,75,Boom! Shake the Room,1993
Restless Heart,76,When She Cries,1993
Inner Circle,77,Sweat (A La La La La Long),1993
Ice Cube,78,It Was a Good Day,1993
Captain Hollywood Project,79,More and More,1993
The Heights,80,How Do You Talk to an Angel,1993
Digable Planets,81,Rebirth of Slick (Cool Like Dat),1993
Haddaway,82,What Is Love,1993
Michael Bolton,83,To Love Somebody,1993
En Vogue,84,"Give It Up, Turn It Loose",1993
Kris Kross,85,Alright,1993
Ice Cube,86,Check Yo Self,1993
Sting,87,Fields of Gold,1993
Dino,88,Ooh Child,1993
Go West,89,Faithful,1993
Rod Stewart,90,Reason to Believe,1993
Tears for Fears,91,Break It Down Again,1993
Joey Lawrence,92,Nothin' My Love Can't Fix,1993
Green Jellÿ,93,Three Little Pigs,1993
Aerosmith,94,Livin' on the Edge,1993
Gin Blossoms,95,Hey Jealousy,1993
Sting,96,If I Ever Lose My Faith in You,1993
Tony! Toni! Tone!,97,Anniversary,1993
Jade,98,One Woman,1993
Taylor Dayne,99,Can't Get Enough of Your Love,1993
Def Leppard,100,Two Steps Behind,1993
Ace of Base,1,The Sign,1994
All-4-One,2,I Swear,1994
Boyz II Men,3,I'll Make Love to You,1994
Céline Dion,4,The Power of Love,1994
Mariah Carey,5,Hero,1994
Lisa Loeb and Nine Stories,6,Stay (I Missed You),1994
Toni Braxton,7,Breathe Again,1994
Bryan Adams,8,All for Love,1994
Ace of Base,9,All That She Wants,1994
Ace of Base,10,Don't Turn Around,1994
R. Kelly,11,Bump n' Grind,1994
Janet Jackson,12,Again,1994
Madonna,13,I'll Remember,1994
Salt-n-Pepa,14,Whatta Man,1994
John Mellencamp,15,Wild Night,1994
Mariah Carey,16,Without You,1994
Toni Braxton,17,You Mean the World to Me,1994
Elton John,18,Can You Feel the Love Tonight,1994
Prince,19,The Most Beautiful Girl in the World,1994
Coolio,20,Fantastic Voyage,1994
Big Mountain,21,"Baby, I Love Your Way",1994
Warren G,22,Regulate,1994
Jon Secada,23,If You Go,1994
Aaliyah,24,Back &amp; Forth,1994
Richard Marx,25,Now and Forever,1994
Babyface,26,When Can I See You,1994
Bryan Adams,27,Please Forgive Me,1994
All-4-One,28,So Much in Love,1994
Salt-n-Pepa,29,Shoop,1994
Janet Jackson,30,"Any Time, Any Place",1994
Collective Soul,31,Shine,1994
Michael Bolton,32,Said I Loved You...But I Lied,1994
Enigma,33,Return to Innocence,1994
Sheryl Crow,34,All I Wanna Do,1994
Crash Test Dummies,35,Mmm Mmm Mmm Mmm,1994
Tevin Campbell,36,Can We Talk,1994
Da Brat,37,Funkdafied,1994
Meat Loaf,38,I'd Do Anything for Love (But I Won't Do That),1994
DRS,39,Gangsta Lean,1994
"10,000 Maniacs",40,Because the Night,1994
Us3,41,Cantaloop (Flip Fantasia),1994
Tag Team,42,Whoomp! (There It Is),1994
Melissa Etheridge,43,Come to My Window,1994
Changing Faces,44,Stroke You Up,1994
Tevin Campbell,45,I'm Ready,1994
Crystal Waters,46,100% Pure Love,1994
Mariah Carey,47,Anytime You Need a Friend,1994
Janet Jackson,48,Because of Love,1994
The Cranberries,49,Linger,1994
Beck,50,Loser,1994
Gin Blossoms,51,Found Out About You,1994
Snoop Doggy Dogg,52,Gin and Juice,1994
Immature,53,Never Lie,1994
Bruce Springsteen,54,Streets of Philadelphia,1994
Domino,55,Getto Jam,1994
Luther Vandross,56,Endless Love,1994
Aaron Hall,57,I Miss You,1994
Xscape,58,Understanding,1994
Warren G,59,This D.J.,1994
Jodeci,60,Cry for You,1994
2Pac,61,Keep Ya Head Up,1994
Snoop Doggy Dogg,62,What's My Name?,1994
Real McCoy,63,Another Night,1994
R. Kelly,64,Your Body's Callin',1994
69 Boyz,65,Tootsee Roll,1994
Jimmy Cliff,66,I Can See Clearly Now,1994
Babyface,67,Never Keeping Secrets,1994
Aerosmith,68,Crazy,1994
Xscape,69,Just Kickin' It,1994
Aaliyah,70,(At Your Best) You Are Love,1994
Meat Loaf,71,Rock and Roll Dreams Come Through,1994
Aerosmith,72,Amazing,1994
Erasure,73,Always,1994
Zhané,74,Groove Thang,1994
Gabrielle,75,Dreams,1994
Culture Beat,76,Mr. Vain,1994
Tom Petty and the Heartbreakers,77,Mary Jane's Last Dance,1994
SWV,78,Anything,1994
Joshua Kadison,79,Beautiful in My Eyes,1994
Eternal,80,Stay,1994
Craig Mack,81,Flava in Ya Ear,1994
Queen Latifah,82,U.N.I.T.Y.,1994
Seal,83,Prayer for the Dying,1994
Madonna,84,Secret,1994
Ini Kamoze,85,Here Comes the Hotstepper,1994
Phil Collins,86,Everyday,1994
Tim McGraw,87,Don't Take the Girl,1994
Heavy D &amp; the Boyz,88,"""Got Me Waiting""",1994
The Four Seasons,89,"December, 1963 (Oh, What a Night)",1994
Tim McGraw,90,Indian Outlaw,1994
Bon Jovi,91,Always,1994
Melissa Etheridge,92,I'm the Only One,1994
Ahmad,93,Back in the Day,1994
Bonnie Raitt,94,Love Sneakin' Up On You,1994
General Public,95,I'll Take You There,1994
Tevin Campbell,96,Always in My Heart,1994
Haddaway,97,What Is Love,1994
Babyface,98,And Our Feelings,1994
Ice Cube,99,Bop Gun (One Nation),1994
Brandy,100,I Wanna Be Down,1994
Coolio,1,Gangsta's Paradise,1995
TLC,2,Waterfalls,1995
TLC,3,Creep,1995
Seal,4,Kiss from a Rose,1995
Boyz II Men,5,On Bended Knee,1995
Real McCoy,6,Another Night,1995
Mariah Carey,7,Fantasy,1995
Madonna,8,Take a Bow,1995
Monica,9,Don't Take It Personal (Just One of Dem Days),1995
Montell Jordan,10,This Is How We Do It,1995
Dionne Farris,11,I Know,1995
Boyz II Men,12,Water Runs Dry,1995
Adina Howard,13,Freak Like Me,1995
Blues Traveler,14,Run-Around,1995
All-4-One,15,I Can Love You Like That,1995
Bryan Adams,16,Have You Ever Really Loved a Woman?,1995
Bon Jovi,17,Always,1995
Shaggy,18,Boombastic,1995
Nicki French,19,Total Eclipse of the Heart,1995
Des'ree,20,You Gotta Be,1995
Michael Jackson,21,You Are Not Alone,1995
Hootie &amp; the Blowfish,22,Hold My Hand,1995
The Notorious B.I.G.,23,One More Chance,1995
Ini Kamoze,24,Here Comes the Hotstepper,1995
Soul for Real,25,Candy Rain,1995
Hootie &amp; the Blowfish,26,Let Her Cry,1995
Blessid Union of Souls,27,I Believe,1995
TLC,28,Red Light Special,1995
Janet Jackson,29,Runaway,1995
Sheryl Crow,30,Strong Enough,1995
Vanessa Williams,31,Colors of the Wind,1995
Jon B.,32,Someone to Love,1995
Hootie &amp; the Blowfish,33,Only Wanna Be with You,1995
Brownstone,34,If You Love Me,1995
Martin Page,35,In the House of Stone and Light,1995
Luniz,36,I Got 5 on It,1995
Brandy,37,Baby,1995
Real McCoy,38,Run Away,1995
Sophie B. Hawkins,39,As I Lay Me Down,1995
MoKenStef,40,He's Mine,1995
Collective Soul,41,December,1995
Method Man,42,I'll Be There for You/You're All I Need to Get By,1995
Diana King,43,Shy Guy,1995
Melissa Etheridge,44,I'm the Only One,1995
Soul for Real,45,Every Little Thing I Do,1995
Blackstreet,46,Before I Let You Go,1995
The Notorious B.I.G.,47,Big Poppa,1995
4 P.M.,48,Sukiyaki,1995
Brandy,49,I Wanna Be Down,1995
Boyz II Men,50,I'll Make Love to You,1995
2Pac,51,Dear Mama,1995
Jamie Walters,52,"""Hold On""",1995
Dr. Dre,53,Keep Their Heads Ringin',1995
Corona,54,The Rhythm of the Night,1995
Del Amitri,55,Roll to Me,1995
Michael Jackson,56,Scream,1995
Jodeci,57,Freek'n You,1995
Skee-Lo,58,I Wish,1995
Elton John,59,Believe,1995
Natalie Merchant,60,Carnival,1995
Tom Petty,61,You Don't Know How It Feels,1995
Take That,62,Back for Good,1995
69 Boyz,63,Tootsee Roll,1995
Janet Jackson,64,You Want This,1995
Groove Theory,65,Tell Me,1995
Total,66,Can't You See,1995
Sheryl Crow,67,All I Wanna Do,1995
Subway,68,This Lil' Game We Play,1995
Real McCoy,69,Come and Get Your Love,1995
Bon Jovi,70,This Ain't a Love Song,1995
Madonna,71,Secret,1995
Junior M.A.F.I.A.,72,Player's Anthem,1995
Naughty by Nature,73,Feel Me Flow,1995
Jade,74,Every Day of the Week,1995
Vanessa Williams,75,The Sweetest Days,1995
20 Fingers,76,Short Dick Man,1995
Brandy,77,Brokenhearted,1995
Annie Lennox,78,No More I Love You's,1995
Faith Evans,79,You Used to Love Me,1995
Immature,80,Constantly,1995
U2,81,"Hold Me, Thrill Me, Kiss Me, Kill Me",1995
Crystal Waters,82,100% Pure Love,1995
Raphael Saadiq,83,Ask of You,1995
AZ,84,Sugar Hill,1995
Better Than Ezra,85,Good,1995
D'Angelo,86,Brown Sugar,1995
Gloria Estefan,87,Turn the Beat Around,1995
After 7,88,'Til You Do Me Right,1995
Bone Thugs-n-Harmony,89,1st of tha Month,1995
Melissa Etheridge,90,Like the Way I Do,1995
FireHouse,91,I Live My Life for You,1995
Stevie B,92,"""Dream About You""",1995
Rednex,93,Cotton Eye Joe,1995
Boyz II Men,94,Thank You,1995
The Pretenders,95,I'll Stand by You,1995
N II U,96,I Miss You,1995
Da Brat,97,Give It 2 You,1995
Brandy,98,Best Friend,1995
Soul Asylum,99,Misery,1995
Van Halen,100,Can't Stop Lovin' You,1995
Los del Río,1,Macarena,1996
Mariah Carey,2,One Sweet Day,1996
Celine Dion,3,Because You Loved Me,1996
The Tony Rich Project,4,Nobody Knows,1996
Mariah Carey,5,Always Be My Baby,1996
Tracy Chapman,6,Give Me One Reason,1996
Bone Thugs-n-Harmony,7,Tha Crossroads,1996
Donna Lewis,8,I Love You Always Forever,1996
Toni Braxton,9,You're Makin' Me High,1996
Keith Sweat,10,Twisted,1996
Quad City DJ's,11,C'mon N' Ride It (The Train),1996
Everything but the Girl,12,Missing,1996
Alanis Morissette,13,Ironic,1996
Whitney Houston,14,Exhale (Shoop Shoop),1996
Gin Blossoms,15,Follow You Down,1996
Brandy,16,Sittin' Up in My Room,1996
2Pac,17,How Do U Want It,1996
Celine Dion,18,It's All Coming Back to Me Now,1996
Eric Clapton,19,Change the World,1996
LL Cool J,20,Hey Lover,1996
LL Cool J,21,Loungin,1996
Jann Arden,22,Insensitive,1996
La Bouche,23,Be My Lover,1996
Goo Goo Dolls,24,Name,1996
Jewel,25,Who Will Save Your Soul,1996
No Mercy,26,Where Do You Go,1996
R. Kelly,27,I Can't Sleep Baby (If I),1996
Dishwalla,28,Counting Blue Cars,1996
Alanis Morissette,29,You Learn,1996
Joan Osborne,30,One of Us,1996
Natalie Merchant,31,Wonder,1996
Mary J. Blige,32,Not Gon' Cry,1996
Coolio,33,Gangsta's Paradise,1996
112,34,Only You,1996
R. Kelly,35,Down Low (Nobody Has to Know),1996
SWV,36,You're the One,1996
La Bouche,37,Sweet Dreams,1996
Monica,38,Before You Walk Out of My Life,1996
Deep Blue Something,39,Breakfast at Tiffany's,1996
Coolio,40,"1, 2, 3, 4 (Sumpin' New)",1996
Collective Soul,41,The World I Know,1996
Blackstreet,42,No Diggity,1996
3T,43,Anything,1996
The Smashing Pumpkins,44,1979,1996
TLC,45,Diggin' on You,1996
Monica,46,Why I Love You So Much,1996
Total,47,"""Kissin' You""",1996
Whitney Houston,48,Count On Me,1996
Mariah Carey,49,Fantasy,1996
Hootie &amp; the Blowfish,50,Time,1996
Madonna,51,You'll See,1996
Az Yet,52,Last Night,1996
Merril Bainbridge,53,Mouth,1996
Color Me Badd,54,"""The Earth, the Sun, the Rain""",1996
Joe,55,All the Things (Your Man Won't Do),1996
Oasis,56,Wonderwall,1996
Busta Rhymes,57,Woo Hah!! Got You All in Check,1996
Groove Theory,58,Tell Me,1996
Outkast,59,Elevators (Me &amp; You),1996
Blues Traveler,60,Hook,1996
